employee,Email,InvoiceId,CustomerId,InvoiceDate,BillingAddress,BillingCountry,BillingPostalCode,Total
Jane Peacock,jane@chinookcorp.com,98,1,2010-03-11 00:00:00,"Av. Brigadeiro Faria Lima, 2170",Brazil,12227-000,3.98
Jane Peacock,jane@chinookcorp.com,121,1,2010-06-13 00:00:00,"Av. Brigadeiro Faria Lima, 2170",Brazil,12227-000,3.96
Jane Peacock,jane@chinookcorp.com,143,1,2010-09-15 00:00:00,"Av. Brigadeiro Faria Lima, 2170",Brazil,12227-000,5.94
Jane Peacock,jane@chinookcorp.com,195,1,2011-05-06 00:00:00,"Av. Brigadeiro Faria Lima, 2170",Brazil,12227-000,0.99
Jane Peacock,jane@chinookcorp.com,316,1,2012-10-27 00:00:00,"Av. Brigadeiro Faria Lima, 2170",Brazil,12227-000,1.98
Jane Peacock,jane@chinookcorp.com,327,1,2012-12-07 00:00:00,"Av. Brigadeiro Faria Lima, 2170",Brazil,12227-000,13.86
Jane Peacock,jane@chinookcorp.com,382,1,2013-08-07 00:00:00,"Av. Brigadeiro Faria Lima, 2170",Brazil,12227-000,8.91
Jane Peacock,jane@chinookcorp.com,99,3,2010-03-11 00:00:00,1498 rue Bélanger,Canada,H2G 1A7,3.98
Jane Peacock,jane@chinookcorp.com,110,3,2010-04-21 00:00:00,1498 rue Bélanger,Canada,H2G 1A7,13.86
Jane Peacock,jane@chinookcorp.com,165,3,2010-12-20 00:00:00,1498 rue Bélanger,Canada,H2G 1A7,8.91
Jane Peacock,jane@chinookcorp.com,294,3,2012-07-26 00:00:00,1498 rue Bélanger,Canada,H2G 1A7,1.98
Jane Peacock,jane@chinookcorp.com,317,3,2012-10-28 00:00:00,1498 rue Bélanger,Canada,H2G 1A7,3.96
Jane Peacock,jane@chinookcorp.com,339,3,2013-01-30 00:00:00,1498 rue Bélanger,Canada,H2G 1A7,5.94
Jane Peacock,jane@chinookcorp.com,391,3,2013-09-20 00:00:00,1498 rue Bélanger,Canada,H2G 1A7,0.99
Jane Peacock,jane@chinookcorp.com,34,12,2009-05-23 00:00:00,"Praça Pio X, 119",Brazil,20040-020,0.99
Jane Peacock,jane@chinookcorp.com,155,12,2010-11-14 00:00:00,"Praça Pio X, 119",Brazil,20040-020,1.98
Jane Peacock,jane@chinookcorp.com,166,12,2010-12-25 00:00:00,"Praça Pio X, 119",Brazil,20040-020,13.86
Jane Peacock,jane@chinookcorp.com,221,12,2011-08-25 00:00:00,"Praça Pio X, 119",Brazil,20040-020,8.91
Jane Peacock,jane@chinookcorp.com,350,12,2013-03-31 00:00:00,"Praça Pio X, 119",Brazil,20040-020,1.98
Jane Peacock,jane@chinookcorp.com,373,12,2013-07-03 00:00:00,"Praça Pio X, 119",Brazil,20040-020,3.96
Jane Peacock,jane@chinookcorp.com,395,12,2013-10-05 00:00:00,"Praça Pio X, 119",Brazil,20040-020,5.94
Jane Peacock,jane@chinookcorp.com,36,15,2009-06-05 00:00:00,700 W Pender Street,Canada,V6C 1G8,1.98
Jane Peacock,jane@chinookcorp.com,47,15,2009-07-16 00:00:00,700 W Pender Street,Canada,V6C 1G8,13.86
Jane Peacock,jane@chinookcorp.com,102,15,2010-03-16 00:00:00,700 W Pender Street,Canada,V6C 1G8,9.91
Jane Peacock,jane@chinookcorp.com,231,15,2011-10-21 00:00:00,700 W Pender Street,Canada,V6C 1G8,1.98
Jane Peacock,jane@chinookcorp.com,254,15,2012-01-23 00:00:00,700 W Pender Street,Canada,V6C 1G8,3.96
Jane Peacock,jane@chinookcorp.com,276,15,2012-04-26 00:00:00,700 W Pender Street,Canada,V6C 1G8,5.94
Jane Peacock,jane@chinookcorp.com,328,15,2012-12-15 00:00:00,700 W Pender Street,Canada,V6C 1G8,0.99
Jane Peacock,jane@chinookcorp.com,112,18,2010-05-12 00:00:00,627 Broadway,USA,10012-2612,1.98
Jane Peacock,jane@chinookcorp.com,135,18,2010-08-14 00:00:00,627 Broadway,USA,10012-2612,3.96
Jane Peacock,jane@chinookcorp.com,157,18,2010-11-16 00:00:00,627 Broadway,USA,10012-2612,5.94
Jane Peacock,jane@chinookcorp.com,209,18,2011-07-07 00:00:00,627 Broadway,USA,10012-2612,0.99
Jane Peacock,jane@chinookcorp.com,330,18,2012-12-28 00:00:00,627 Broadway,USA,10012-2612,1.98
Jane Peacock,jane@chinookcorp.com,341,18,2013-02-07 00:00:00,627 Broadway,USA,10012-2612,13.86
Jane Peacock,jane@chinookcorp.com,396,18,2013-10-08 00:00:00,627 Broadway,USA,10012-2612,8.91
Jane Peacock,jane@chinookcorp.com,15,19,2009-03-04 00:00:00,1 Infinite Loop,USA,95014,1.98
Jane Peacock,jane@chinookcorp.com,26,19,2009-04-14 00:00:00,1 Infinite Loop,USA,95014,13.86
Jane Peacock,jane@chinookcorp.com,81,19,2009-12-13 00:00:00,1 Infinite Loop,USA,95014,8.91
Jane Peacock,jane@chinookcorp.com,210,19,2011-07-20 00:00:00,1 Infinite Loop,USA,95014,1.98
Jane Peacock,jane@chinookcorp.com,233,19,2011-10-22 00:00:00,1 Infinite Loop,USA,95014,3.96
Jane Peacock,jane@chinookcorp.com,255,19,2012-01-24 00:00:00,1 Infinite Loop,USA,95014,5.94
Jane Peacock,jane@chinookcorp.com,307,19,2012-09-13 00:00:00,1 Infinite Loop,USA,95014,1.99
Jane Peacock,jane@chinookcorp.com,92,24,2010-02-08 00:00:00,162 E Superior Street,USA,60611,1.98
Jane Peacock,jane@chinookcorp.com,103,24,2010-03-21 00:00:00,162 E Superior Street,USA,60611,15.86
Jane Peacock,jane@chinookcorp.com,158,24,2010-11-19 00:00:00,162 E Superior Street,USA,60611,8.91
Jane Peacock,jane@chinookcorp.com,287,24,2012-06-25 00:00:00,162 E Superior Street,USA,60611,1.98
Jane Peacock,jane@chinookcorp.com,310,24,2012-09-27 00:00:00,162 E Superior Street,USA,60611,7.96
Jane Peacock,jane@chinookcorp.com,332,24,2012-12-30 00:00:00,162 E Superior Street,USA,60611,5.94
Jane Peacock,jane@chinookcorp.com,384,24,2013-08-20 00:00:00,162 E Superior Street,USA,60611,0.99
Jane Peacock,jane@chinookcorp.com,48,29,2009-07-24 00:00:00,796 Dundas Street West,Canada,M6J 1V1,0.99
Jane Peacock,jane@chinookcorp.com,169,29,2011-01-15 00:00:00,796 Dundas Street West,Canada,M6J 1V1,1.98
Jane Peacock,jane@chinookcorp.com,180,29,2011-02-25 00:00:00,796 Dundas Street West,Canada,M6J 1V1,13.86
Jane Peacock,jane@chinookcorp.com,235,29,2011-10-26 00:00:00,796 Dundas Street West,Canada,M6J 1V1,8.91
Jane Peacock,jane@chinookcorp.com,364,29,2013-06-01 00:00:00,796 Dundas Street West,Canada,M6J 1V1,1.98
Jane Peacock,jane@chinookcorp.com,387,29,2013-09-03 00:00:00,796 Dundas Street West,Canada,M6J 1V1,3.96
Jane Peacock,jane@chinookcorp.com,409,29,2013-12-06 00:00:00,796 Dundas Street West,Canada,M6J 1V1,5.94
Jane Peacock,jane@chinookcorp.com,49,30,2009-08-06 00:00:00,230 Elgin Street,Canada,K2P 1L7,1.98
Jane Peacock,jane@chinookcorp.com,72,30,2009-11-08 00:00:00,230 Elgin Street,Canada,K2P 1L7,3.96
Jane Peacock,jane@chinookcorp.com,94,30,2010-02-10 00:00:00,230 Elgin Street,Canada,K2P 1L7,5.94
Jane Peacock,jane@chinookcorp.com,146,30,2010-10-01 00:00:00,230 Elgin Street,Canada,K2P 1L7,0.99
Jane Peacock,jane@chinookcorp.com,267,30,2012-03-24 00:00:00,230 Elgin Street,Canada,K2P 1L7,1.98
Jane Peacock,jane@chinookcorp.com,278,30,2012-05-04 00:00:00,230 Elgin Street,Canada,K2P 1L7,13.86
Jane Peacock,jane@chinookcorp.com,333,30,2013-01-02 00:00:00,230 Elgin Street,Canada,K2P 1L7,8.91
Jane Peacock,jane@chinookcorp.com,27,33,2009-04-22 00:00:00,5112 48 Street,Canada,X1A 1N6,0.99
Jane Peacock,jane@chinookcorp.com,148,33,2010-10-14 00:00:00,5112 48 Street,Canada,X1A 1N6,1.98
Jane Peacock,jane@chinookcorp.com,159,33,2010-11-24 00:00:00,5112 48 Street,Canada,X1A 1N6,13.86
Jane Peacock,jane@chinookcorp.com,214,33,2011-07-25 00:00:00,5112 48 Street,Canada,X1A 1N6,8.91
Jane Peacock,jane@chinookcorp.com,343,33,2013-02-28 00:00:00,5112 48 Street,Canada,X1A 1N6,1.98
Jane Peacock,jane@chinookcorp.com,366,33,2013-06-02 00:00:00,5112 48 Street,Canada,X1A 1N6,3.96
Jane Peacock,jane@chinookcorp.com,388,33,2013-09-04 00:00:00,5112 48 Street,Canada,X1A 1N6,5.94
Jane Peacock,jane@chinookcorp.com,6,37,2009-01-19 00:00:00,Berger Straße 10,Germany,60316,0.99
Jane Peacock,jane@chinookcorp.com,127,37,2010-07-13 00:00:00,Berger Straße 10,Germany,60316,1.98
Jane Peacock,jane@chinookcorp.com,138,37,2010-08-23 00:00:00,Berger Straße 10,Germany,60316,13.86
Jane Peacock,jane@chinookcorp.com,193,37,2011-04-23 00:00:00,Berger Straße 10,Germany,60316,14.91
Jane Peacock,jane@chinookcorp.com,322,37,2012-11-27 00:00:00,Berger Straße 10,Germany,60316,1.98
Jane Peacock,jane@chinookcorp.com,345,37,2013-03-01 00:00:00,Berger Straße 10,Germany,60316,3.96
Jane Peacock,jane@chinookcorp.com,367,37,2013-06-03 00:00:00,Berger Straße 10,Germany,60316,5.94
Jane Peacock,jane@chinookcorp.com,7,38,2009-02-01 00:00:00,Barbarossastraße 19,Germany,10779,1.98
Jane Peacock,jane@chinookcorp.com,30,38,2009-05-06 00:00:00,Barbarossastraße 19,Germany,10779,3.96
Jane Peacock,jane@chinookcorp.com,52,38,2009-08-08 00:00:00,Barbarossastraße 19,Germany,10779,5.94
Jane Peacock,jane@chinookcorp.com,104,38,2010-03-29 00:00:00,Barbarossastraße 19,Germany,10779,0.99
Jane Peacock,jane@chinookcorp.com,225,38,2011-09-20 00:00:00,Barbarossastraße 19,Germany,10779,1.98
Jane Peacock,jane@chinookcorp.com,236,38,2011-10-31 00:00:00,Barbarossastraße 19,Germany,10779,13.86
Jane Peacock,jane@chinookcorp.com,291,38,2012-06-30 00:00:00,Barbarossastraße 19,Germany,10779,8.91
Jane Peacock,jane@chinookcorp.com,9,42,2009-02-02 00:00:00,"9, Place Louis Barthou",France,33000,3.96
Jane Peacock,jane@chinookcorp.com,31,42,2009-05-07 00:00:00,"9, Place Louis Barthou",France,33000,5.94
Jane Peacock,jane@chinookcorp.com,83,42,2009-12-26 00:00:00,"9, Place Louis Barthou",France,33000,0.99
Jane Peacock,jane@chinookcorp.com,204,42,2011-06-19 00:00:00,"9, Place Louis Barthou",France,33000,3.98
Jane Peacock,jane@chinookcorp.com,215,42,2011-07-30 00:00:00,"9, Place Louis Barthou",France,33000,13.86
Jane Peacock,jane@chinookcorp.com,270,42,2012-03-29 00:00:00,"9, Place Louis Barthou",France,33000,8.91
Jane Peacock,jane@chinookcorp.com,399,42,2013-11-03 00:00:00,"9, Place Louis Barthou",France,33000,1.98
Jane Peacock,jane@chinookcorp.com,84,43,2010-01-08 00:00:00,"68, Rue Jouvence",France,21000,1.98
Jane Peacock,jane@chinookcorp.com,107,43,2010-04-12 00:00:00,"68, Rue Jouvence",France,21000,3.96
Jane Peacock,jane@chinookcorp.com,129,43,2010-07-15 00:00:00,"68, Rue Jouvence",France,21000,5.94
Jane Peacock,jane@chinookcorp.com,181,43,2011-03-05 00:00:00,"68, Rue Jouvence",France,21000,0.99
Jane Peacock,jane@chinookcorp.com,302,43,2012-08-26 00:00:00,"68, Rue Jouvence",France,21000,1.98
Jane Peacock,jane@chinookcorp.com,313,43,2012-10-06 00:00:00,"68, Rue Jouvence",France,21000,16.86
Jane Peacock,jane@chinookcorp.com,368,43,2013-06-06 00:00:00,"68, Rue Jouvence",France,21000,8.91
Jane Peacock,jane@chinookcorp.com,53,44,2009-08-11 00:00:00,Porthaninkatu 9,Finland,00530,8.91
Jane Peacock,jane@chinookcorp.com,182,44,2011-03-18 00:00:00,Porthaninkatu 9,Finland,00530,1.98
Jane Peacock,jane@chinookcorp.com,205,44,2011-06-20 00:00:00,Porthaninkatu 9,Finland,00530,7.96
Jane Peacock,jane@chinookcorp.com,227,44,2011-09-22 00:00:00,Porthaninkatu 9,Finland,00530,5.94
Jane Peacock,jane@chinookcorp.com,279,44,2012-05-12 00:00:00,Porthaninkatu 9,Finland,00530,0.99
Jane Peacock,jane@chinookcorp.com,400,44,2013-11-03 00:00:00,Porthaninkatu 9,Finland,00530,1.98
Jane Peacock,jane@chinookcorp.com,411,44,2013-12-14 00:00:00,Porthaninkatu 9,Finland,00530,13.86
Jane Peacock,jane@chinookcorp.com,85,45,2010-01-08 00:00:00,Erzsébet krt. 58.,Hungary,H-1073,1.98
Jane Peacock,jane@chinookcorp.com,96,45,2010-02-18 00:00:00,Erzsébet krt. 58.,Hungary,H-1073,21.86
Jane Peacock,jane@chinookcorp.com,151,45,2010-10-19 00:00:00,Erzsébet krt. 58.,Hungary,H-1073,8.91
Jane Peacock,jane@chinookcorp.com,280,45,2012-05-25 00:00:00,Erzsébet krt. 58.,Hungary,H-1073,1.98
Jane Peacock,jane@chinookcorp.com,303,45,2012-08-27 00:00:00,Erzsébet krt. 58.,Hungary,H-1073,3.96
Jane Peacock,jane@chinookcorp.com,325,45,2012-11-29 00:00:00,Erzsébet krt. 58.,Hungary,H-1073,5.94
Jane Peacock,jane@chinookcorp.com,377,45,2013-07-20 00:00:00,Erzsébet krt. 58.,Hungary,H-1073,0.99
Jane Peacock,jane@chinookcorp.com,10,46,2009-02-03 00:00:00,3 Chatham Street,Ireland,,5.94
Jane Peacock,jane@chinookcorp.com,62,46,2009-09-24 00:00:00,3 Chatham Street,Ireland,,0.99
Jane Peacock,jane@chinookcorp.com,183,46,2011-03-18 00:00:00,3 Chatham Street,Ireland,,1.98
Jane Peacock,jane@chinookcorp.com,194,46,2011-04-28 00:00:00,3 Chatham Street,Ireland,,21.86
Jane Peacock,jane@chinookcorp.com,249,46,2011-12-27 00:00:00,3 Chatham Street,Ireland,,8.91
Jane Peacock,jane@chinookcorp.com,378,46,2013-08-02 00:00:00,3 Chatham Street,Ireland,,1.98
Jane Peacock,jane@chinookcorp.com,401,46,2013-11-04 00:00:00,3 Chatham Street,Ireland,,3.96
Jane Peacock,jane@chinookcorp.com,11,52,2009-02-06 00:00:00,202 Hoxton Street,United Kingdom,N1 5LH,8.91
Jane Peacock,jane@chinookcorp.com,140,52,2010-09-13 00:00:00,202 Hoxton Street,United Kingdom,N1 5LH,1.98
Jane Peacock,jane@chinookcorp.com,163,52,2010-12-16 00:00:00,202 Hoxton Street,United Kingdom,N1 5LH,3.96
Jane Peacock,jane@chinookcorp.com,185,52,2011-03-20 00:00:00,202 Hoxton Street,United Kingdom,N1 5LH,5.94
Jane Peacock,jane@chinookcorp.com,237,52,2011-11-08 00:00:00,202 Hoxton Street,United Kingdom,N1 5LH,0.99
Jane Peacock,jane@chinookcorp.com,358,52,2013-05-01 00:00:00,202 Hoxton Street,United Kingdom,N1 5LH,1.98
Jane Peacock,jane@chinookcorp.com,369,52,2013-06-11 00:00:00,202 Hoxton Street,United Kingdom,N1 5LH,13.86
Jane Peacock,jane@chinookcorp.com,43,53,2009-07-06 00:00:00,113 Lupus St,United Kingdom,SW1V 3EN,1.98
Jane Peacock,jane@chinookcorp.com,54,53,2009-08-16 00:00:00,113 Lupus St,United Kingdom,SW1V 3EN,13.86
Jane Peacock,jane@chinookcorp.com,109,53,2010-04-16 00:00:00,113 Lupus St,United Kingdom,SW1V 3EN,8.91
Jane Peacock,jane@chinookcorp.com,238,53,2011-11-21 00:00:00,113 Lupus St,United Kingdom,SW1V 3EN,1.98
Jane Peacock,jane@chinookcorp.com,261,53,2012-02-23 00:00:00,113 Lupus St,United Kingdom,SW1V 3EN,3.96
Jane Peacock,jane@chinookcorp.com,283,53,2012-05-27 00:00:00,113 Lupus St,United Kingdom,SW1V 3EN,5.94
Jane Peacock,jane@chinookcorp.com,335,53,2013-01-15 00:00:00,113 Lupus St,United Kingdom,SW1V 3EN,0.99
Jane Peacock,jane@chinookcorp.com,120,58,2010-06-12 00:00:00,"12,Community Centre",India,110017,1.98
Jane Peacock,jane@chinookcorp.com,131,58,2010-07-23 00:00:00,"12,Community Centre",India,110017,13.86
Jane Peacock,jane@chinookcorp.com,186,58,2011-03-23 00:00:00,"12,Community Centre",India,110017,8.91
Jane Peacock,jane@chinookcorp.com,315,58,2012-10-27 00:00:00,"12,Community Centre",India,110017,1.98
Jane Peacock,jane@chinookcorp.com,338,58,2013-01-29 00:00:00,"12,Community Centre",India,110017,3.96
Jane Peacock,jane@chinookcorp.com,360,58,2013-05-03 00:00:00,"12,Community Centre",India,110017,5.94
Jane Peacock,jane@chinookcorp.com,412,58,2013-12-22 00:00:00,"12,Community Centre",India,110017,1.99
Jane Peacock,jane@chinookcorp.com,23,59,2009-04-05 00:00:00,"3,Raj Bhavan Road",India,560001,3.96
Jane Peacock,jane@chinookcorp.com,45,59,2009-07-08 00:00:00,"3,Raj Bhavan Road",India,560001,5.94
Jane Peacock,jane@chinookcorp.com,97,59,2010-02-26 00:00:00,"3,Raj Bhavan Road",India,560001,1.99
Jane Peacock,jane@chinookcorp.com,218,59,2011-08-20 00:00:00,"3,Raj Bhavan Road",India,560001,1.98
Jane Peacock,jane@chinookcorp.com,229,59,2011-09-30 00:00:00,"3,Raj Bhavan Road",India,560001,13.86
Jane Peacock,jane@chinookcorp.com,284,59,2012-05-30 00:00:00,"3,Raj Bhavan Road",India,560001,8.91
Margaret Park,margaret@chinookcorp.com,2,4,2009-01-02 00:00:00,Ullevålsveien 14,Norway,0171,3.96
Margaret Park,margaret@chinookcorp.com,24,4,2009-04-06 00:00:00,Ullevålsveien 14,Norway,0171,5.94
Margaret Park,margaret@chinookcorp.com,76,4,2009-11-25 00:00:00,Ullevålsveien 14,Norway,0171,0.99
Margaret Park,margaret@chinookcorp.com,197,4,2011-05-19 00:00:00,Ullevålsveien 14,Norway,0171,1.98
Margaret Park,margaret@chinookcorp.com,208,4,2011-06-29 00:00:00,Ullevålsveien 14,Norway,0171,15.86
Margaret Park,margaret@chinookcorp.com,263,4,2012-02-27 00:00:00,Ullevålsveien 14,Norway,0171,8.91
Margaret Park,margaret@chinookcorp.com,392,4,2013-10-03 00:00:00,Ullevålsveien 14,Norway,0171,1.98
Margaret Park,margaret@chinookcorp.com,77,5,2009-12-08 00:00:00,Klanova 9/506,Czech Republic,14700,1.98
Margaret Park,margaret@chinookcorp.com,100,5,2010-03-12 00:00:00,Klanova 9/506,Czech Republic,14700,3.96
Margaret Park,margaret@chinookcorp.com,122,5,2010-06-14 00:00:00,Klanova 9/506,Czech Republic,14700,5.94
Margaret Park,margaret@chinookcorp.com,174,5,2011-02-02 00:00:00,Klanova 9/506,Czech Republic,14700,0.99
Margaret Park,margaret@chinookcorp.com,295,5,2012-07-26 00:00:00,Klanova 9/506,Czech Republic,14700,1.98
Margaret Park,margaret@chinookcorp.com,306,5,2012-09-05 00:00:00,Klanova 9/506,Czech Republic,14700,16.86
Margaret Park,margaret@chinookcorp.com,361,5,2013-05-06 00:00:00,Klanova 9/506,Czech Republic,14700,8.91
Margaret Park,margaret@chinookcorp.com,3,8,2009-01-03 00:00:00,Grétrystraat 63,Belgium,1000,5.94
Margaret Park,margaret@chinookcorp.com,55,8,2009-08-24 00:00:00,Grétrystraat 63,Belgium,1000,0.99
Margaret Park,margaret@chinookcorp.com,176,8,2011-02-15 00:00:00,Grétrystraat 63,Belgium,1000,1.98
Margaret Park,margaret@chinookcorp.com,187,8,2011-03-28 00:00:00,Grétrystraat 63,Belgium,1000,13.86
Margaret Park,margaret@chinookcorp.com,242,8,2011-11-26 00:00:00,Grétrystraat 63,Belgium,1000,8.91
Margaret Park,margaret@chinookcorp.com,371,8,2013-07-02 00:00:00,Grétrystraat 63,Belgium,1000,1.98
Margaret Park,margaret@chinookcorp.com,394,8,2013-10-04 00:00:00,Grétrystraat 63,Belgium,1000,3.96
Margaret Park,margaret@chinookcorp.com,56,9,2009-09-06 00:00:00,Sønder Boulevard 51,Denmark,1720,1.98
Margaret Park,margaret@chinookcorp.com,79,9,2009-12-09 00:00:00,Sønder Boulevard 51,Denmark,1720,3.96
Margaret Park,margaret@chinookcorp.com,101,9,2010-03-13 00:00:00,Sønder Boulevard 51,Denmark,1720,5.94
Margaret Park,margaret@chinookcorp.com,153,9,2010-11-01 00:00:00,Sønder Boulevard 51,Denmark,1720,0.99
Margaret Park,margaret@chinookcorp.com,274,9,2012-04-24 00:00:00,Sønder Boulevard 51,Denmark,1720,1.98
Margaret Park,margaret@chinookcorp.com,285,9,2012-06-04 00:00:00,Sønder Boulevard 51,Denmark,1720,13.86
Margaret Park,margaret@chinookcorp.com,340,9,2013-02-02 00:00:00,Sønder Boulevard 51,Denmark,1720,8.91
Margaret Park,margaret@chinookcorp.com,25,10,2009-04-09 00:00:00,"Rua Dr. Falcão Filho, 155",Brazil,01007-010,8.91
Margaret Park,margaret@chinookcorp.com,154,10,2010-11-14 00:00:00,"Rua Dr. Falcão Filho, 155",Brazil,01007-010,1.98
Margaret Park,margaret@chinookcorp.com,177,10,2011-02-16 00:00:00,"Rua Dr. Falcão Filho, 155",Brazil,01007-010,3.96
